key,en
body,Body
cancel,Cancel
confirm,Confirm
confirm_delete_entry,Confirm Delete Entry
date,Date
delete,Delete
diary,Diary
entry,Entry
entries,Entries
home,Home
home_body,<p>Welcome to your new diary.</p>
home_header,"Hello, Diary!"
new,New
no_entries,No Entries
title,Title
update_entry,Update Entry
